num_uavs,num_requests,area_size,num_locations,vnfs_per_request,time_slots,seed,milp_success,milp_serviced,milp_reward,milp_runtime,milp_status,mpoploc_success,mpoploc_serviced,mpoploc_reward,mpoploc_runtime,mpoploc_status,serviced_diff,reward_diff,runtime_ratio,test_case_id,run_id
4,40,2500.0,10,2,4,0,True,22,22000.0,60.406126499176025,optimal,True,13,13000.0,0.02432417869567871,completed,9,9000.0,0.0004026773459147477,0,0
6,40,2500.0,10,2,4,1000,True,25,25000.0,60.778385639190674,optimal,True,17,17000.0,0.03033447265625,completed,8,8000.0,0.0004990996772492415,1,0
8,40,2500.0,10,2,4,2000,True,14,14000.0,61.31681036949158,optimal,True,15,15000.0,0.03766131401062012,completed,-1,-1000.0,0.0006142086286562397,2,0
10,40,2500.0,10,2,4,3000,True,29,29000.0,62.508472204208374,optimal,True,27,27000.0,0.03470206260681152,completed,2,2000.0,0.0005551577471521567,3,0
8,40,2500.0,10,2,4,4000,True,40,40000.0,64.30934834480286,optimal,True,24,24000.0,0.032115936279296875,completed,16,16000.0,0.0004993976320068296,4,0
8,45,2500.0,10,2,4,5000,True,42,42000.0,181.41838884353638,optimal,True,23,23000.0,0.037084341049194336,completed,19,19000.0,0.0002044133523927257,5,0
8,50,2500.0,10,2,4,6000,True,40,40000.0,181.59549164772034,optimal,True,16,16000.0,0.04884481430053711,completed,24,24000.0,0.0002689759192661669,6,0
8,55,2500.0,10,2,4,7000,True,37,37000.0,181.71683382987976,optimal,True,26,26000.0,0.04447627067565918,completed,11,11000.0,0.00024475591907625416,7,0
8,60,2500.0,10,2,4,8000,True,7,7000.0,181.75008463859558,optimal,True,10,10000.0,0.05404019355773926,completed,-3,-3000.0,0.0002973324258153525,8,0
8,65,2500.0,10,2,4,9000,True,17,17000.0,181.84053206443787,optimal,True,21,21000.0,0.05758404731750488,completed,-4,-4000.0,0.00031667333274794384,9,0
8,70,2500.0,10,2,4,10000,True,23,23000.0,182.1386022567749,optimal,True,10,10000.0,0.06950497627258301,completed,13,13000.0,0.00038160486251341964,10,0
8,75,2500.0,10,2,4,11000,True,37,37000.0,182.06843185424805,optimal,True,17,17000.0,0.06738924980163574,completed,20,20000.0,0.0003701314341828523,11,0
8,80,2500.0,10,2,4,12000,True,18,18000.0,182.2227282524109,optimal,True,18,18000.0,0.07279467582702637,completed,0,0.0,0.0003994818677404105,12,0
8,40,1000.0,10,2,4,13000,True,40,40000.0,14.544013023376465,optimal,True,37,37000.0,0.03029942512512207,completed,3,3000.0,0.0020832919412559704,13,0
8,40,1500.0,10,2,4,14000,True,39,39000.0,121.37253022193909,optimal,True,29,29000.0,0.03341031074523926,completed,10,10000.0,0.00027527077736738215,14,0
8,40,2000.0,10,2,4,15000,True,36,36000.0,121.4123055934906,optimal,True,23,23000.0,0.033708810806274414,completed,13,13000.0,0.00027763916220434315,15,0
8,40,2500.0,10,2,4,16000,True,27,27000.0,121.316335439682,optimal,True,8,8000.0,0.05504298210144043,completed,19,19000.0,0.00045371451339962026,16,0
8,40,3000.0,10,2,4,17000,True,25,11000.0,121.37392783164978,optimal,True,10,10000.0,0.035310983657836914,completed,1,1000.0,0.0002909272550429,17,0
8,40,3500.0,10,2,4,18000,True,22,22000.0,74.70941019058228,optimal,True,9,9000.0,0.039019107818603516,completed,13,13000.0,0.0005222783544812698,18,0
8,40,4000.0,10,2,4,19000,True,1,1000.0,3.683159589767456,optimal,True,0,0.0,0.04148077964782715,completed,1,1000.0,0.011262281374684099,19,0
