num_uavs,num_requests,area_size,num_locations,vnfs_per_request,time_slots,seed,milp_success,milp_serviced,milp_reward,milp_runtime,milp_status,mpoploc_success,mpoploc_serviced,mpoploc_reward,mpoploc_runtime,mpoploc_status,serviced_diff,reward_diff,runtime_ratio,test_case_id,run_id
4,40,1000.0,10,2,4,0,True,24,24000.0,60.412126779556274,optimal,True,19,19000.0,0.020813941955566406,completed,5,5000.0,0.00034453251466409117,0,0
6,40,1000.0,10,2,4,1000,True,31,31000.0,60.78570365905762,optimal,True,30,30000.0,0.024779081344604492,completed,1,1000.0,0.00040764653286878887,1,0
8,40,1000.0,10,2,4,2000,True,40,40000.0,58.41454577445984,optimal,True,38,38000.0,0.037660837173461914,completed,2,2000.0,0.0006447167683006804,2,0
10,40,1000.0,10,2,4,3000,True,36,36000.0,61.98141431808472,optimal,True,40,40000.0,0.03069138526916504,completed,-4,-4000.0,0.0004951707799318483,3,0
8,40,150.0,10,2,4,4000,True,40,40000.0,38.045156955718994,optimal,True,39,39000.0,0.031770944595336914,completed,1,1000.0,0.0008350851235103412,4,0
8,45,150.0,10,2,4,5000,True,41,41000.0,61.35277056694031,optimal,True,41,41000.0,0.03405165672302246,completed,0,0.0,0.0005550141649409238,5,0
8,50,150.0,10,2,4,6000,True,43,43000.0,61.5680205821991,optimal,True,38,38000.0,0.0978391170501709,completed,5,5000.0,0.0015891223418421658,6,0
8,55,150.0,10,2,4,7000,True,46,46000.0,61.88125133514404,optimal,True,39,39000.0,0.03940105438232422,completed,7,7000.0,0.0006367203883601379,7,0
8,60,150.0,10,2,4,8000,True,39,39000.0,61.742809534072876,optimal,True,40,40000.0,0.042724609375,completed,-1,-1000.0,0.0006919770852251606,8,0
8,65,150.0,10,2,4,9000,True,33,33000.0,61.91463756561279,optimal,True,41,41000.0,0.047426700592041016,completed,-8,-8000.0,0.0007660014248130181,9,0
8,70,150.0,10,2,4,10000,True,35,35000.0,62.20830512046814,optimal,True,46,46000.0,0.05367565155029297,completed,-11,-11000.0,0.0008628373887754787,10,0
8,75,150.0,10,2,4,11000,True,0,-0.0,62.06317710876465,optimal,True,49,49000.0,0.0479278564453125,completed,-49,-49000.0,0.0007722430381113065,11,0
8,80,150.0,10,2,4,12000,True,21,21000.0,62.099061012268066,optimal,True,40,40000.0,0.052335262298583984,completed,-19,-19000.0,0.0008427705901743799,12,0
8,30,500.0,10,2,4,13000,True,30,30000.0,8.545612573623657,optimal,True,30,30000.0,0.051818132400512695,completed,0,0.0,0.0060637118701649595,13,0
8,30,550.0,10,2,4,14000,True,30,30000.0,8.447679042816162,optimal,True,30,30000.0,0.0235440731048584,completed,0,0.0,0.002787046357411044,14,0
8,30,600.0,10,2,4,15000,True,30,30000.0,8.631855249404907,optimal,True,30,30000.0,0.02405238151550293,completed,0,0.0,0.002786467198596864,15,0
8,30,650.0,10,2,4,16000,True,30,30000.0,37.21484398841858,optimal,True,30,30000.0,0.02457571029663086,completed,0,0.0,0.0006603738632971007,16,0
