num_uavs,num_requests,area_size,num_locations,vnfs_per_request,time_slots,seed,milp_success,milp_serviced,milp_reward,milp_runtime,milp_status,mpoploc_success,mpoploc_serviced,mpoploc_reward,mpoploc_runtime,mpoploc_status,random_success,random_serviced,random_reward,random_runtime,random_status,serviced_diff,reward_diff,runtime_ratio,milp_vs_random_serviced_diff,mpoploc_vs_random_serviced_diff,milp_vs_random_reward_diff,mpoploc_vs_random_reward_diff,random_vs_milp_runtime_ratio,random_vs_mpoploc_runtime_ratio,test_case_id,run_id
4,32,2500.0,10,2,4,0,True,20,20000.0,60.37609052658081,optimal,True,18,12000.0,0.018969058990478516,completed,True,7,7000.0,0.012311935424804688,completed,8,8000.0,0.0003141816375495083,13,5,13000.0,5000.0,0.00020392071294156268,0.6490535682863678,0,0
5,40,2500.0,10,2,4,0,True,26,20000.0,60.37609052658081,optimal,True,24,12000.0,0.018969058990478516,completed,True,7,7000.0,0.012311935424804688,completed,8,8000.0,0.0003141816375495083,13,5,13000.0,5000.0,0.00020392071294156268,0.6490535682863678,0,0
6,48,2500.0,10,2,4,1000,True,32,28000.0,60.86207103729248,optimal,True,29,19000.0,0.030861854553222656,completed,True,12,12000.0,0.018178224563598633,completed,9,9000.0,0.0005070786127917409,16,7,16000.0,7000.0,0.0002986790336539838,0.5890191897654584,1,0
7,56,2500.0,10,2,4,1000,True,39,28000.0,60.86207103729248,optimal,True,34,19000.0,0.030861854553222656,completed,True,12,12000.0,0.018178224563598633,completed,9,9000.0,0.0005070786127917409,16,7,16000.0,7000.0,0.0002986790336539838,0.5890191897654584,1,0
8,64,2500.0,10,2,4,2000,True,45,9000.0,61.73187279701233,optimal,True,38,18000.0,0.05715298652648926,completed,True,16,16000.0,0.02782154083251953,completed,-9,-9000.0,0.0009258262213171559,-7,2,-7000.0,2000.0,0.00045068357028471724,0.48679067400309534,2,0
9,72,2500.0,10,2,4,2000,True,50,9000.0,61.73187279701233,optimal,True,40,18000.0,0.05715298652648926,completed,True,16,16000.0,0.02782154083251953,completed,-9,-9000.0,0.0009258262213171559,-7,2,-7000.0,2000.0,0.00045068357028471724,0.48679067400309534,2,0
10,80,2500.0,10,2,4,3000,True,57,-0.0,63.161678314208984,optimal,True,42,40000.0,0.0791172981262207,completed,True,19,19000.0,0.03614640235900879,completed,-40,-40000.0,0.0012526155136764678,-19,21,-19000.0,21000.0,0.0005722837537532187,0.45687104103760223,3,0
